"Leg","Stopover type","Total Time","Total Distance (nm)","Sailing Time","Sailing Distance (nm)","Engine Time","Engine Distance (nm)","Motorsail Time","Motorsail Distance (nm)","Average Speed (knots)"
"Ulva Ferry to Ballycastle","MoorPontoon","16:30:00",88,"10:40:00 (65%)","69 (78%)","5:50:00 (35%)","19 (22%)","0:00:00 (0%)","0 (0%)",5.389644946378681
"Ballycastle to Bangor","MoorPontoon","7:35:00",45,"6:45:00 (89%)","43 (95%)","0:50:00 (11%)","2 (5%)","0:00:00 (0%)","0 (0%)",6.052766614138089
"Bangor to Ardglass","MoorPontoon","9:00:00",44,"4:50:00 (54%)","25 (58%)","1:05:00 (12%)","3 (8%)","3:05:00 (34%)","14 (33%)",4.935846022598702
"Ardglass to Holyhead","MoorBuoy","11:30:00",70,"10:25:00 (91%)","66 (95%)","1:05:00 (9%)","3 (5%)","0:00:00 (0%)","0 (0%)",6.119208389312402
"Holyhead to Fishguard","Anchor","20:25:00",97,"18:20:00 (90%)","89 (92%)","2:05:00 (10%)","7 (8%)","0:00:00 (0%)","0 (0%)",4.759659596319071
"Fishguard to Milford Haven","MoorPontoon","9:35:00",40,"2:15:00 (23%)","9 (24%)","1:10:00 (12%)","2 (6%)","6:10:00 (64%)","28 (70%)",4.197035451630187
"Milford Haven to Newlyn","MoorPontoon","1 day, 4:30:00",131,"20:45:00 (73%)","99 (75%)","3:12:00 (11%)","11 (9%)","4:33:00 (16%)","21 (16%)",4.613739316342761
"Newlyn to Cawsand Bay","Anchor","11:05:00",65,"10:25:00 (94%)","64 (98%)","0:40:00 (6%)","1 (2%)","0:00:00 (0%)","0 (0%)",5.939881906500038
"Cawsand Bay to Tor Bay","Anchor","8:25:00",44,"6:25:00 (76%)","38 (86%)","1:40:00 (20%)","4 (10%)","0:20:00 (4%)","1 (4%)",5.29348170986571
"Tor Bay to Portland","Anchor","12:55:00",59,"10:00:00 (77%)","49 (83%)","2:55:00 (23%)","10 (17%)","0:00:00 (0%)","0 (0%)",4.630600069826582
"Portland to Studland Bay","MoorBuoy","4:40:00",26,"3:45:00 (80%)","23 (90%)","0:55:00 (20%)","2 (10%)","0:00:00 (0%)","0 (0%)",5.650458008592327
"Studland Bay to Cowes","MoorPontoon","5:20:00",27,"4:25:00 (83%)","23 (86%)","0:45:00 (14%)","2 (11%)","0:10:00 (3%)","0 (3%)",5.0982122976602255
"Cowes to Portsmouth","MoorPontoon","2:00:00",9,"1:30:00 (75%)","6 (76%)","0:30:00 (25%)","2 (24%)","0:00:00 (0%)","0 (0%)",4.571953887934001
